id,series_name,issue_number,title,publication_date
1,"Fantastic Four",166,"What Lurks Behind the Beehive?","1967-06-08"
2,"Journey Into Mystery",85,"Trapped by Loki the God of Mischief","1962-08-02"
3,"Journey Into Mystery",83,"The Mighty Thor and the Stone Men from Saturn!","1962-06-05"
4,"Thanos",8,"Dark Alliances","2004-03-17"
5,"Giant-Size X-Men",11,"Deadly Genesis!","1975-04-01"
6,"Uncanny X-Men",266,"Gambit: Out of the Frying Pan","1990-06-19"
7,"Avengers",55,"Mayhem over Manhattan!","1968-06-11"
8,"Fantastic Four",15,"Prisoners of Doctor Doom!","1962-04-10"
9,"Magik (Illyana and Storm Limited Series)",1,"Little Girl Lost","1983-08-30"
10,"Amazing Spider-Man",345,"Gun From the Heart","1991-01-08"